bpi_rank,Team_Name,Conference,W-L,bpi_off,bpi_def,bpi_rating,seven_day_rank_change
46,Nevada,MW,28-6,7.3,2.0,9.3,--
47,Arkansas,SEC,25-9,6.7,2.5,9.3,3
48,Northwestern,Big Ten,23-11,3.5,5.7,9.2,5
49,Maryland,Big Ten,24-8,4.9,4.2,9.1,4
50,Virginia Tech,ACC,22-10,7.6,1.4,9.1,--
51,Vermont,Am. East,29-5,4.5,4.5,9.0,4
52,TCU,Big 12,19-15,5.2,3.5,8.7,1
53,Seton Hall,Big East,21-11,4.4,4.1,8.5,3
54,Princeton,Ivy,23-6,4.3,4.1,8.4,--
55,Providence,Big East,20-12,2.4,5.8,8.2,--
56,California,Pac-12,21-13,0.4,7.4,7.8,4
57,USC,Pac-12,24-9,5.3,2.3,7.6,1
58,Alabama,SEC,19-15,-0.4,8.0,7.6,6
59,UNC Wilmington,CAA,29-5,7.8,-0.3,7.5,--
60,Utah,Pac-12,20-12,4.2,3.2,7.5,3
61,Illinois State,MVC,27-6,0.2,7.2,7.4,1
62,Illinois,Big Ten,19-14,2.9,4.3,7.2,1
63,UCF,American,21-11,0.1,7.1,7.2,5
64,Georgetown,Big East,14-18,2.9,4.3,7.2,2
65,Ohio State,Big Ten,17-15,4.0,3.0,7.0,4
66,Tennessee,SEC,16-16,3.2,3.8,7.0,--
67,Georgia,SEC,19-14,1.7,5.0,6.7,2
68,UT Arlington,Sun Belt,25-8,3.7,2.9,6.6,3
69,Pittsburgh,ACC,16-17,6.0,0.4,6.5,1
70,Davidson,A 10,17-15,4.0,2.3,6.2,4
71,Belmont,Ohio Valley E,22-6,5.1,1.1,6.2,2
72,Oklahoma,Big 12,11-20,1.1,5.1,6.2,5
73,Texas,Big 12,11-22,0.2,6.0,6.2,5
74,East Tennessee State,Southern,27-7,2.4,3.7,6.2,2
75,Texas A&M,SEC,16-15,2.6,3.3,5.9,4
76,Ole Miss,SEC,21-13,3.4,2.5,5.8,5
77,BYU,WCC,22-11,2.5,3.3,5.8,2
78,Monmouth,MAAC,27-7,2.3,3.3,5.6,2
79,Iowa,Big Ten,18-14,3.7,1.8,5.5,2
80,Florida Gulf Coast,A-Sun,26-7,4.1,1.2,5.3,1
81,St Bonaventure,A 10,20-12,2.9,2.2,5.1,4
82,Auburn,SEC,18-14,3.8,1.2,5.0,--
83,NC State,ACC,15-17,5.7,-0.7,5.0,--
84,Bucknell,Patriot,26-8,2.6,2.3,4.9,5
85,Akron,MAC E,26-8,5.4,-0.5,4.9,3
86,UNC Asheville,Big South,23-9,2.1,2.7,4.8,2
87,Georgia Tech,ACC,18-15,-2.8,7.5,4.7,7
88,San Diego State,MW,19-14,-0.7,5.3,4.6,8
